packet_index,label,kitsune_tanh_rmse,tenko_node_score
2130,0,0.011744,0.044072
2140,0,0.002744,0.002568
2150,0,0.002963,0.003459
2160,0,0.004351,0.004351
2170,0,0.003077,0.050657
2180,0,0.003581,0.003458
2190,0,0.003574,0.003574
2200,0,0.003140,0.003978
2210,0,0.005550,0.005382
2220,0,0.002051,0.005386
2230,0,0.003122,0.005217
2240,0,0.004324,0.005217
2250,0,0.003250,0.003458
2260,0,0.005105,0.004934
2270,0,0.006120,0.006050
2280,0,0.004363,0.004155
2290,0,0.002888,0.002642
2300,0,0.011345,0.014663
2310,0,0.011367,0.014659
2320,0,0.003918,0.003888
2330,0,0.014415,0.043952
2340,0,0.015434,0.043934
2350,0,0.012739,0.014648
2360,0,0.013445,0.014647
2370,0,0.013885,0.014647
2380,0,0.008277,0.005386
2390,0,0.003350,0.003458
2400,0,0.003284,0.003458
2410,0,0.005388,0.006148
2420,0,0.014576,0.012553
2430,0,0.017167,0.013796
2440,0,0.016087,0.016085
2450,0,0.020121,0.020119
2460,0,0.003555,0.005215
2470,0,0.008577,0.006561
2480,0,0.003630,0.003458
2490,0,0.002543,0.003457
2500,0,0.004542,0.005380
2510,0,0.003349,0.003457
2520,0,0.003098,0.003457
2530,0,0.066640,0.066542
2540,0,0.004285,0.004285
2550,0,0.065585,0.065492
2560,0,0.003541,0.005213
2570,0,0.059043,0.058974
2580,0,0.008663,0.006899
2590,0,0.004263,0.005212
2600,0,0.005918,0.006485
2610,0,0.003119,0.003457
2620,0,0.007556,0.005383
2630,0,0.004239,0.004167
2640,0,0.004787,0.006318
2650,0,0.005225,0.005211
2660,0,0.003652,0.003652
2670,0,0.008309,0.006902
2680,0,0.004048,0.004052
2690,0,0.026175,0.043830
2700,0,0.054117,0.054065
2710,0,0.020345,0.010171
2720,0,0.002448,0.005387
2730,0,0.019092,0.005211
2740,0,0.004371,0.005384
2750,0,0.003487,0.049812
2760,0,0.003874,0.005211
2770,0,0.005076,0.006176
2780,0,0.013641,0.006820
2790,0,0.003217,0.022650
2800,0,0.004276,0.004348
2810,0,0.005556,0.003569
2820,0,0.004241,0.004241
2830,0,0.005749,0.005503
2840,0,0.006340,0.005211
2850,0,0.002959,0.003456
2860,0,0.003187,0.003187
2870,0,0.005765,0.006068
2880,0,0.004306,0.004114
2890,0,0.007423,0.006909
2900,0,0.003635,0.005211
2910,0,0.003638,0.003455
2920,0,0.004237,0.005377
2930,0,0.002983,0.003455
2940,0,0.003649,0.013282
2950,0,0.002952,0.002952
2960,0,0.005682,0.006043
2970,0,0.018264,0.043819
2980,0,0.041838,0.041814
2990,0,0.002790,0.022619
3000,0,0.003266,0.022558
3010,0,0.003128,0.003128
3020,0,0.003140,0.003140
3030,0,0.014539,0.024229
3040,0,0.002419,0.002419
3050,0,0.004399,0.003854
3060,0,0.006325,0.003279
3070,0,0.003322,0.005208
3080,0,0.003646,0.003455
3090,0,0.003342,0.005207
3100,0,0.004409,0.004351
3110,0,0.017403,0.005211
3120,0,0.020572,0.005215
3130,0,0.002606,0.003667
3140,0,0.003262,0.003262
3150,0,0.003146,0.003146
3160,0,0.012332,0.043788
3170,0,0.013839,0.043775
3180,0,0.011296,0.014629
3190,0,0.003514,0.003454
3200,0,0.004629,0.007967
3210,0,0.003287,0.003454
3220,0,0.003054,0.003454
3230,0,0.003557,0.003454
3240,0,0.004375,0.004367
3250,0,0.013284,0.014606
3260,0,0.004447,0.047687
3270,0,0.004585,0.004585
3280,0,0.003316,0.005218
3290,0,0.002602,0.005369
3300,0,0.008014,0.006112
3310,0,0.007569,0.006918
3320,0,0.002949,0.003453
3330,0,0.003998,0.002680
3340,0,0.003816,0.004173
3350,0,0.003406,0.005217
3360,0,0.003202,0.005217
3370,0,0.003584,0.003453
3380,0,0.002889,0.005216
3390,0,0.003282,0.003845
3400,0,0.002164,0.005361
3410,0,0.003601,0.005216
3420,0,0.003641,0.003453
3430,0,0.003732,0.003857
3440,0,0.002462,0.002789
3450,0,0.002877,0.007477
3460,0,0.006932,0.006919
3470,0,0.005785,0.005293
3480,0,0.004946,0.005294
3490,0,0.034823,0.034809
3500,0,0.003276,0.003452
3510,0,0.002831,0.003452
3520,0,0.003832,0.003832
3530,0,0.032022,0.005318
3540,0,0.030541,0.005333
3550,0,0.014427,0.043630
3560,0,0.013750,0.013749
3570,0,0.018850,0.005343
3580,0,0.012551,0.012550
3590,0,0.004101,0.005742
3600,0,0.006949,0.005347
3610,0,0.003541,0.003541
3620,0,0.003012,0.022284
3630,0,0.002498,0.005739
3640,0,0.005079,0.005347
3650,0,0.003156,0.005346
3660,0,0.002982,0.003451
3670,0,0.003273,0.003451
3680,0,0.003605,0.003451
3690,0,0.003150,0.003150
3700,0,0.004469,0.005743
3710,0,0.062357,0.043640
3720,0,0.034474,0.043641
3730,0,0.004155,0.003641
3740,0,0.031111,0.140797
3750,0,0.034764,0.043632
3760,0,0.034829,0.043622
3770,0,0.035621,0.135588
3780,0,0.064009,0.133942
3790,0,0.004236,0.004236
3800,0,0.014109,0.005345
3810,0,0.025719,0.043572
3820,0,0.004509,0.091206
3830,0,0.024824,0.043531
3840,0,0.036134,0.043507
3850,0,0.041686,0.043497
3860,0,0.040773,0.043492
3870,0,0.042079,0.043489
3880,0,0.050328,0.043494
3890,0,0.053976,0.043510
3900,0,0.066263,0.043544
3910,0,0.013856,0.005346
3920,0,0.011786,0.011785
3930,0,0.079097,0.043645
3940,0,0.104328,0.043730
3950,0,0.080674,0.043812
3960,0,0.111510,0.043911
3970,0,0.095870,0.044013
3980,0,0.103231,0.044125
3990,0,0.139211,0.044273
4000,0,0.008785,0.008785
4010,0,0.145902,0.044395
4020,0,0.124468,0.044567
4030,0,0.156601,0.044754
4040,0,0.173428,0.044986
4050,0,0.186071,0.045234
4060,0,0.187391,0.045501
4070,0,0.190734,0.045785
4080,0,0.201597,0.046090
4090,0,0.023215,0.023211
4100,0,0.035545,0.035530
4110,0,0.042841,0.042815
4120,0,0.043729,0.043701
4130,0,0.042618,0.042592
4140,0,0.042261,0.042236
4150,0,0.199876,0.046517
4160,0,0.210328,0.046827
4170,0,0.248657,0.047163
4180,0,0.260198,0.047526
4190,0,0.245356,0.047908
4200,0,0.264923,0.048332
4210,0,0.043049,0.043022
4220,0,0.269445,0.048736
4230,0,0.281780,0.049131
4240,0,0.331393,0.049625
4250,0,0.346846,0.050160
4260,0,0.012000,0.011999
4270,0,0.047235,0.047200
4280,0,0.272505,0.050595
4290,0,0.289847,0.051044
4300,0,0.324848,0.051529
4310,0,0.347803,0.052038
4320,0,0.341543,0.052567
4330,0,0.353126,0.052955
4340,0,0.049003,0.048963
4350,0,0.376843,0.053762
4360,0,0.367612,0.053880
4370,0,0.380959,0.054468
4380,0,0.415469,0.055097
4390,0,0.433164,0.055755
4400,0,0.453290,0.056439
4410,0,0.461456,0.057144
4420,0,0.499567,0.057857
4430,0,0.513367,0.058605
4440,0,0.525241,0.059388
4450,0,0.501927,0.060185
4460,0,0.514996,0.060974
4470,0,0.561006,0.061789
4480,0,0.574592,0.062537
4490,0,0.059724,0.059653
4500,0,0.032291,0.032280
4510,0,0.032666,0.032655
4520,0,0.076228,0.076081
4530,0,0.083347,0.083154
4540,0,0.089215,0.088979
4550,0,0.095353,0.095065
4560,0,0.055643,0.055585
4570,0,0.105801,0.105408
4580,0,0.109526,0.109091
4590,0,0.120081,0.119507
4600,0,0.133766,0.132973
4610,0,0.146187,0.145154
4620,0,0.064911,0.064820
4630,0,0.171356,0.169698
4640,0,0.057570,0.057507
4650,0,0.196624,0.194128
4660,0,0.207367,0.204445
4670,0,0.212874,0.209716
4680,0,0.520778,0.063919
4690,0,0.496180,0.064697
4700,0,0.543799,0.065495
4710,0,0.568057,0.066313
4720,0,0.583798,0.067150
4730,0,0.600977,0.068007
4740,0,0.004079,0.005765
4750,0,0.613701,0.069224
4760,0,0.571473,0.069921
4770,0,0.620645,0.070783
4780,0,0.629322,0.071654
4790,0,0.641736,0.072525
4800,0,0.608068,0.073415
4810,0,0.671764,0.074317
4820,0,0.683301,0.075237
4830,0,0.642168,0.076161
4840,0,0.707289,0.077106
4850,0,0.719136,0.078069
4860,0,0.728855,0.079035
4870,0,0.739806,0.080000
4880,0,0.745882,0.080986
4890,0,0.758709,0.081979
4900,0,0.759943,0.082977
4910,0,0.775812,0.083979
4920,0,0.785064,0.084989
4930,0,0.790633,0.086004
4940,0,0.802154,0.087024
4950,0,0.808405,0.088049
4960,0,0.816757,0.089078
4970,0,0.823694,0.090112
4980,0,0.830945,0.091149
4990,0,0.839583,0.092190
5000,0,0.846311,0.093233
5010,0,0.193292,0.190920
5020,0,0.057396,0.057333
5030,0,0.230257,0.226272
5040,0,0.249541,0.244488
5050,0,0.273671,0.267037
5060,0,0.286733,0.279125
5070,0,0.304458,0.295387
5080,0,0.328267,0.316962
5090,0,0.345137,0.332056
5100,0,0.835729,0.094891
5110,0,0.841498,0.095921
5120,0,0.371221,0.355059
5130,0,0.379746,0.362487
5140,0,0.374288,0.357736
5150,0,0.364492,0.349165
5160,0,0.808471,0.096921
5170,0,0.813946,0.097918
5180,0,0.823901,0.098919
5190,0,0.828383,0.099923
5200,0,0.372522,0.356196
5210,0,0.055556,0.055499
5220,0,0.054332,0.054278
5230,0,0.827111,0.101328
5240,0,0.834349,0.102329
5250,0,0.841781,0.103333
5260,0,0.848459,0.104340
5270,0,0.398193,0.378402
5280,0,0.055436,0.055379
5290,0,0.855344,0.105954
5300,0,0.418469,0.395640
5310,0,0.435946,0.410278
5320,0,0.454793,0.425831
5330,0,0.473259,0.440828
5340,0,0.492260,0.456008
5350,0,0.511067,0.470776
5360,0,0.529607,0.485081
5370,0,0.547477,0.498627
5380,0,0.563321,0.510437
5390,0,0.573012,0.517568
5400,0,0.575707,0.519538
5410,0,0.569658,0.515108
5420,0,0.830949,0.108042
5430,0,0.838056,0.109023
5440,0,0.846490,0.110008
5450,0,0.850597,0.110995
5460,0,0.857863,0.111985
5470,0,0.863100,0.112976
5480,0,0.562473,0.509810
5490,0,0.861959,0.114063
5500,0,0.867839,0.115050
5510,0,0.871841,0.116038
5520,0,0.877377,0.117028
5530,0,0.883673,0.118019
5540,0,0.889483,0.119011
5550,0,0.565295,0.511896
5560,0,0.888798,0.120201
5570,0,0.893123,0.121189
5580,0,0.577958,0.521180
5590,0,0.590995,0.530611
5600,0,0.609024,0.543440
5610,0,0.621197,0.551961
5620,0,0.631475,0.559067
5630,0,0.645381,0.568552
5640,0,0.655218,0.575172
5650,0,0.669028,0.584340
5660,0,0.681009,0.592175
5670,0,0.693358,0.600135
5680,0,0.705487,0.607839
5690,0,0.716919,0.614997
5700,0,0.726481,0.620908
5710,0,0.736270,0.626886
5720,0,0.872141,0.121774
5730,0,0.878270,0.122744
5740,0,0.882658,0.123716
5750,0,0.884974,0.124201
5760,0,0.889956,0.125174
5770,0,0.894718,0.126147
5780,0,0.899883,0.127121
5790,0,0.904327,0.128095
5800,0,0.907681,0.129070
5810,0,0.752044,0.636367
5820,0,0.761523,0.641973
5830,0,0.908539,0.129751
5840,0,0.912398,0.130724
5850,0,0.917028,0.131697
5860,0,0.920621,0.132669
5870,0,0.924206,0.133641
5880,0,0.927864,0.134613
5890,0,0.774528,0.649554
5900,0,0.783761,0.654860
5910,0,0.929117,0.135583
5920,0,0.932196,0.136552
5930,0,0.790764,0.658842
5940,0,0.799384,0.663692
5950,0,0.806902,0.667878
5960,0,0.812440,0.670934
5970,0,0.819143,0.674603
5980,0,0.826207,0.678434
5990,0,0.833563,0.682384
6000,0,0.928986,0.137711
6010,0,0.932172,0.138673
6020,0,0.935304,0.139539
6030,0,0.937643,0.140499
6040,0,0.838734,0.685138
6050,0,0.840697,0.686178
6060,0,0.839876,0.685743
6070,0,0.834037,0.682638
6080,0,0.835529,0.683434
6090,0,0.837675,0.684576
6100,0,0.839495,0.685541
6110,0,0.002973,0.003450
6120,0,0.846961,0.689479
6130,0,0.898722,0.141069
6140,0,0.899790,0.141997
6150,0,0.903920,0.142923
6160,0,0.908034,0.143849
6170,0,0.911316,0.144776
6180,0,0.915354,0.145702
6190,0,0.823257,0.676839
6200,0,0.816063,0.672921
6210,0,0.823089,0.676747
6220,0,0.830250,0.680610
6230,0,0.834237,0.682744
6240,0,0.841502,0.686604
6250,0,0.847621,0.689825
6260,0,0.853675,0.692985
6270,0,0.901329,0.146809
6280,0,0.905491,0.147722
6290,0,0.858887,0.695684
6300,0,0.860814,0.696677
6310,0,0.902987,0.148718
6320,0,0.905769,0.149535
6330,0,0.843643,0.687734
6340,0,0.849929,0.691033
6350,0,0.855981,0.694181
6360,0,0.860826,0.696683
6370,0,0.866697,0.699692
6380,0,0.893904,0.150438
6390,0,0.870885,0.701823
6400,0,0.875576,0.704196
6410,0,0.879898,0.706368
6420,0,0.882251,0.707545
6430,0,0.889560,0.151242
6440,0,0.894467,0.152132
6450,0,0.898864,0.153021
6460,0,0.903413,0.153912
6470,0,0.906913,0.154802
6480,0,0.911057,0.155693
6490,0,0.884270,0.708552
6500,0,0.003404,0.005399
6510,0,0.917252,0.157563
6520,0,0.886379,0.709601
6530,0,0.922331,0.158987
6540,0,0.926259,0.159876
6550,0,0.887743,0.710277
6560,0,0.889446,0.711120
6570,0,0.003429,0.003429
6580,0,0.905595,0.160924
6590,0,0.909530,0.161795
6600,0,0.913707,0.162666
6610,0,0.917085,0.163537
6620,0,0.920919,0.164408
6630,0,0.923993,0.165279
6640,0,0.927386,0.166149
6650,0,0.929636,0.167019
6660,0,0.932659,0.167889
6670,0,0.849084,0.690591
6680,0,0.923345,0.168754
6690,0,0.926561,0.169614
6700,0,0.843955,0.687898
6710,0,0.925667,0.170984
6720,0,0.926986,0.171838
6730,0,0.930085,0.172691
6740,0,0.933096,0.173543
6750,0,0.934024,0.174393
6760,0,0.830609,0.680803
6770,0,0.057441,0.057378
6780,0,0.926600,0.175072
6790,0,0.929860,0.175914
6800,0,0.057959,0.057895
6810,0,0.057039,0.056977
6820,0,0.056594,0.056534
6830,0,0.003219,0.003259
6840,0,0.925514,0.177339
6850,0,0.928533,0.178173
6860,0,0.928241,0.179006
6870,0,0.876306,0.179831
6880,0,0.879670,0.180622
6890,0,0.793174,0.660203
6900,0,0.801712,0.664993
6910,0,0.808240,0.668618
6920,0,0.875846,0.181330
6930,0,0.879627,0.182134
6940,0,0.815257,0.672480
6950,0,0.927730,0.183025
6960,0,0.800907,0.664544
6970,0,0.808233,0.668614
6980,0,0.814757,0.672206
6990,0,0.820930,0.675576
7000,0,0.826778,0.678742
7010,0,0.828271,0.679546
7020,0,0.830152,0.680558
7030,0,0.835714,0.683532
7040,0,0.851884,0.183786
7050,0,0.908587,0.184586
7060,0,0.832767,0.681959
7070,0,0.835153,0.683233
7080,0,0.899306,0.185144
7090,0,0.903066,0.185936
7100,0,0.903477,0.186648
7110,0,0.907290,0.187439
7120,0,0.057826,0.057761
7130,0,0.802923,0.665668
7140,0,0.058702,0.058635
7150,0,0.887361,0.188450
7160,0,0.891679,0.189225
7170,0,0.058512,0.058445
7180,0,0.893725,0.190154
7190,0,0.897709,0.190928
7200,0,0.793265,0.660255
7210,0,0.878310,0.191462
7220,0,0.883222,0.192221
7230,0,0.003102,0.004342
7240,0,0.062684,0.062602
7250,0,0.759720,0.640912
7260,0,0.759817,0.640969
7270,0,0.876215,0.193655
7280,0,0.881295,0.194406
7290,0,0.885569,0.195158
7300,0,0.889649,0.195912
7310,0,0.762916,0.642791
7320,0,0.768516,0.646066
7330,0,0.886103,0.196585
7340,0,0.890172,0.197335
7350,0,0.894254,0.198085
7360,0,0.768508,0.646061
7370,0,0.888423,0.198833
7380,0,0.892871,0.199578
7390,0,0.896427,0.200323
7400,0,0.900658,0.201069
7410,0,0.904121,0.201811
7420,0,0.748322,0.634147
7430,0,0.752760,0.636792
7440,0,0.757359,0.639519
7450,0,0.759609,0.640846
7460,0,0.762368,0.642469
7470,0,0.002464,0.004213
7480,0,0.754666,0.637924
7490,0,0.751119,0.635816
7500,0,0.871490,0.203410
7510,0,0.803133,0.203810
7520,0,0.871128,0.204486
7530,0,0.749072,0.634595
7540,0,0.871392,0.205033
7550,0,0.755568,0.638459
7560,0,0.758603,0.640254
7570,0,0.861502,0.205454
7580,0,0.863184,0.206143
7590,0,0.799428,0.206761
7600,0,0.003002,0.003002
7610,0,0.733734,0.625345
7620,0,0.845101,0.207462
7630,0,0.790528,0.208145
7640,0,0.854056,0.208829
7650,0,0.852685,0.209311
7660,0,0.849457,0.209448
7670,0,0.725707,0.620432
7680,0,0.063282,0.063197
7690,0,0.063591,0.063506
7700,0,0.840799,0.209857
7710,0,0.844820,0.210534
7720,0,0.830534,0.210601
7730,0,0.836292,0.211270
7740,0,0.708510,0.609742
7750,0,0.834548,0.211938
7760,0,0.705817,0.608047
7770,0,0.829212,0.212601
7780,0,0.827150,0.213192
7790,0,0.069594,0.069481
7800,0,0.829633,0.213850
7810,0,0.698949,0.603700
7820,0,0.830360,0.214310
7830,0,0.706183,0.608278
7840,0,0.709901,0.610615
7850,0,0.714711,0.613623
7860,0,0.719193,0.616409
7870,0,0.721518,0.617849
7880,0,0.817509,0.214958
7890,0,0.003774,0.005398
7900,0,0.807323,0.215473
7910,0,0.707326,0.608997
7920,0,0.801070,0.215851
7930,0,0.805892,0.216482
7940,0,0.699671,0.604159
7950,0,0.802006,0.217363
7960,0,0.701264,0.605169
7970,0,0.806159,0.217990
7980,0,0.701521,0.605332
7990,0,0.004200,0.006038
8000,0,0.795045,0.218800
8010,0,0.800580,0.219418
8020,0,0.804975,0.220038
8030,0,0.809761,0.220661
8040,0,0.815056,0.221285
8050,0,0.820673,0.221912
8060,0,0.825780,0.222542
8070,0,0.830903,0.223173
8080,0,0.685917,0.595352
8090,0,0.837136,0.224123
8100,0,0.841915,0.224758
8110,0,0.847362,0.225395
8120,0,0.843314,0.225650
8130,0,0.843693,0.226284
8140,0,0.847767,0.226906
8150,0,0.666463,0.582649
8160,0,0.003266,0.003244
8170,0,0.834659,0.227624
8180,0,0.774005,0.228209
8190,0,0.844505,0.228829
8200,0,0.849887,0.229451
8210,0,0.851875,0.230017
8220,0,0.856042,0.230646
8230,0,0.665477,0.581997
8240,0,0.671371,0.585881
8250,0,0.842718,0.231143
8260,0,0.847317,0.231758
8270,0,0.852026,0.232379
8280,0,0.856683,0.233002
8290,0,0.856706,0.233501
8300,0,0.858920,0.234123
8310,0,0.863005,0.234746
8320,0,0.659456,0.578001
8330,0,0.666108,0.582414
8340,0,0.673810,0.587481
8350,0,0.678479,0.590530
8360,0,0.683737,0.593943
8370,0,0.854728,0.235300
8380,0,0.859326,0.235917
8390,0,0.863804,0.236536
8400,0,0.690026,0.597999
8410,0,0.862557,0.236844
8420,0,0.693163,0.600010
8430,0,0.863888,0.237708
8440,0,0.860398,0.238076
8450,0,0.859109,0.238500
8460,0,0.680025,0.591535
8470,0,0.686022,0.595420
8480,0,0.686814,0.595931
8490,0,0.692021,0.599279
8500,0,0.860611,0.239598
8510,0,0.692206,0.599398
8520,0,0.864060,0.240450
8530,0,0.076735,0.076584
8540,0,0.867369,0.241303
8550,0,0.004359,0.005398
8560,0,0.866368,0.242213
8570,0,0.865413,0.242515
8580,0,0.673967,0.587583
8590,0,0.681743,0.592651
8600,0,0.688151,0.596793
8610,0,0.693281,0.600086
8620,0,0.696107,0.601891
8630,0,0.703305,0.606461
8640,0,0.708905,0.609990
8650,0,0.712545,0.612270
8660,0,0.840899,0.242995
8670,0,0.838642,0.243229
8680,0,0.843135,0.243814
8690,0,0.848350,0.244396
8700,0,0.708563,0.609775
8710,0,0.848124,0.245194
8720,0,0.852407,0.245780
8730,0,0.856640,0.246357
8740,0,0.854181,0.246533
8750,0,0.858706,0.247109
8760,0,0.704602,0.607281
8770,0,0.705070,0.607576
8780,0,0.772421,0.247272
8790,0,0.851550,0.247820
8800,0,0.857467,0.248402
8810,0,0.860920,0.248985
8820,0,0.707687,0.609224
8830,0,0.865925,0.249921
8840,0,0.864761,0.250446
8850,0,0.867035,0.251029
8860,0,0.870679,0.251612
8870,0,0.697311,0.602658
8880,0,0.863378,0.251670
8890,0,0.706472,0.608460
8900,0,0.864541,0.252307
8910,0,0.865564,0.252711
8920,0,0.869620,0.253290
8930,0,0.865483,0.253521
8940,0,0.869705,0.254097
8950,0,0.002377,0.006030
8960,0,0.697073,0.602506
8970,0,0.876009,0.255597
8980,0,0.696842,0.602360
8990,0,0.701746,0.605475
9000,0,0.872618,0.256230
9010,0,0.876531,0.256746
9020,0,0.703202,0.606396
9030,0,0.869952,0.257431
9040,0,0.874590,0.258000
9050,0,0.878625,0.258570
9060,0,0.694831,0.601077
9070,0,0.702866,0.606184
9080,0,0.879925,0.259359
9090,0,0.704262,0.607066
9100,0,0.875171,0.259644
9110,0,0.706317,0.608362
9120,0,0.873812,0.260262
9130,0,0.870278,0.260430
9140,0,0.704340,0.607116
9150,0,0.706598,0.608539
9160,0,0.003239,0.003243
9170,0,0.003376,0.003244
9180,0,0.790667,0.261539
9190,0,0.702336,0.605848
9200,0,0.701229,0.605147
9210,0,0.784295,0.262192
9220,0,0.704000,0.606901
9230,0,0.854314,0.262574
9240,0,0.004708,0.012080
9250,0,0.696676,0.602253
9260,0,0.701501,0.605319
9270,0,0.847143,0.263596
9280,0,0.770212,0.263806
9290,0,0.841425,0.264072
9300,0,0.694097,0.600607
9310,0,0.002932,0.002852
9320,0,0.689720,0.597802
9330,0,0.008638,0.014590
9340,0,0.688937,0.597298
9350,0,0.008550,0.014587
