packet_index,kitsune_score,192.168.2.15,192.168.100.5,192.168.2.13,169.254.174.17,192.168.2.7,192.168.2.1
170000,0.1334024,,,0.11005482,,,
171000,0.1378899,,,0.11044933,,,
172000,0.2525415,,0.16116156,,,,
173000,0.14025728,,,0.11122019,,,
174000,0.13461487,,,0.11160229,,,
175000,0.28626824,0.21552595,,,,,
176000,0.28294925,0.21648852,,,,,
177000,0.28192654,0.21744235,,,,,
178000,0.24510139,,0.16762503,,,,
179000,0.2360809,,0.16847579,,,,
180000,0.23359781,,0.16930048,,,,
181000,0.13850986,,,0.11416608,,,
182000,0.14923189,,,0.11450899,,,
183000,0.14921811,,,0.11485167,,,
184000,0.14790916,,,0.11519927,,,
185000,0.28071179,0.22431417,,,,,
186000,0.27536148,0.22498688,,,,,
187000,0.27109977,0.22559783,,,,,
188000,0.20860791,,0.1745162,,,,
189000,0.26171104,0.22666775,,,,,
190000,0.26254561,0.22736241,,,,,
191000,0.25558352,0.22782937,,,,,
192000,0.15451888,,,0.11788794,,,
193000,0.25817308,0.22865269,,,,,
194000,0.15259477,,,0.1185119,,,
195000,0.24507338,0.22932625,,,,,
196000,0.25599818,0.22949993,,,,,
197000,0.17784003,,0.17651898,,,,
198000,0.14483993,,,0.11975876,,,
199000,0.14537835,,,0.12008622,,,
200000,0.21629461,0.22968404,,,,,
201000,0.14621785,,,0.12069713,,,
202000,0.12223602,,0.17495508,,,,
203000,0.20330956,0.22918019,,,,,
204000,0.15971168,,,0.12158797,,,
205000,0.21302849,0.22888006,,,,,
206000,0.14993971,,,0.12217046,,,
207000,0.14845414,,,0.12245328,,,
208000,0.14853904,,,0.12272139,,,
209000,0.12630139,,0.17138313,,,,
210000,0.24282573,0.22846299,,,,,
211000,0.23599141,0.22870055,,,,,
212000,0.23625632,0.22879804,,,,,
213000,0.21829789,0.22885796,,,,,
214000,0.16045609,,,0.1244172,,,
215000,0.10881552,,0.16916037,,,,
216000,0.10422037,,0.16856827,,,,
217000,0.094844035,,0.16799293,,,,
218000,0.11268557,,0.16739985,,,,
219000,0.20790856,0.22788896,,,,,
220000,0.20044792,0.227678,,,,,
221000,0.19534412,0.22750884,,,,,
222000,0.19914646,0.22729347,,,,,
223000,0.098203887,,0.16464158,,,,
224000,0.1979603,0.22691023,,,,,
225000,0.15289326,,,0.12731063,,,
226000,0.21233844,0.22656553,,,,,
227000,0.15664823,,,0.12779691,,,
228000,0.20014929,0.22629048,,,,,
229000,0.15466466,,,0.12829532,,,
230000,0.16020114,,,0.12853674,,,
231000,0.15507082,,,0.12877011,,,
232000,0.15513515,,,0.12901187,,,
233000,0.15527326,,,0.12924926,,,
234000,0.15730959,,,0.12950022,,,
235000,0.15550425,,,0.12972259,,,
236000,0.16152686,,,0.12994823,,,
237000,0.16217244,,,0.13018275,,,
238000,0.1605759,,,0.13040229,,,
239000,0.15682315,,,0.13063574,,,
240000,0.15809121,,,0.1308519,,,
241000,0.16212494,,,0.13108732,,,
242000,0.17885894,,,0.13130792,,,
243000,0.1573496,,,0.13152326,,,
244000,0.15916462,,,0.1317401,,,
245000,0.17095718,,,0.13194056,,,
246000,0.15752456,,,0.13215376,,,
247000,0.16830263,,,0.13235836,,,
248000,0.16377503,,,0.13258774,,,
249000,0.17487763,,,0.13280051,,,
250000,0.16007208,,,0.13301045,,,
251000,0.1588166,,,0.13320288,,,
252000,0.17969223,,,0.13340222,,,
253000,0.20169271,0.22325409,,,,,
254000,0.17141386,,,0.13381876,,,
255000,0.18600831,,,0.13400926,,,
256000,0.17259977,,,0.1342154,,,
257000,0.19748422,,,0.13441491,,,
258000,0.18956855,,,0.1346169,,,
259000,0.1914208,,,0.13480447,,,
260000,0.19443803,,,0.13502326,,,
261000,0.18768538,,,0.13520702,,,
262000,0.18353369,,,0.13538888,,,
263000,0.16295296,,,0.13558309,,,
264000,0.16570717,,,0.13577723,,,
265000,0.16540278,,,0.13594916,,,
266000,0.20236538,0.2215399,,,,,
267000,0.19988877,,,0.13630701,,,
268000,0.17186088,,,0.13649527,,,
269000,0.1869217,,,0.13667683,,,
270000,0.18522696,,,0.13685753,,,
271000,0.17633814,,,0.13704629,,,
272000,0.16150545,,,0.13722252,,,
273000,0.16752775,,,0.13740411,,,
274000,0.16231943,,,0.13757743,,,
275000,0.17611071,,,0.13774376,,,
276000,0.16932658,,,0.13791717,,,
277000,0.17335026,,,0.13807978,,,
278000,0.16382907,,,0.13824683,,,
279000,0.16792896,,,0.1384239,,,
280000,0.16550701,,,0.13859517,,,
281000,0.17006186,,,0.13876256,,,
282000,0.16344683,,,0.13892978,,,
283000,0.16313033,,,0.13909311,,,
284000,0.16910355,,,0.13924559,,,
285000,0.17163386,,,0.13940007,,,
286000,0.16594974,,,0.1395622,,,
287000,0.16891932,,,0.13970747,,,
288000,0.16870071,,,0.13985878,,,
289000,0.18316988,,,0.14001159,,,
290000,0.17799636,,,0.1401696,,,
291000,0.16999268,,,0.14033273,,,
292000,0.17703258,,,0.14048435,,,
293000,0.16754074,,,0.14064273,,,
294000,0.1907685,,,0.14079241,,,
295000,0.18821635,,,0.14093298,,,
296000,0.16533059,,,0.14108676,,,
297000,0.177442,,,0.14123225,,,
298000,0.16624026,,,0.14138371,,,
299000,0.17621384,,,0.1415326,,,
300000,0.17383642,,,0.14168818,,,
301000,0.18607297,,,0.14184185,,,
302000,0.16939695,,,0.14198495,,,
303000,0.16801428,,,0.14213777,,,
304000,0.17802521,,,0.14226888,,,
305000,0.081532807,,0.13560334,,,,
306000,0.20571636,0.21974701,,,,,
307000,0.2057973,0.21969913,,,,,
308000,0.2065268,0.21965082,,,,,
309000,0.20611123,0.21961853,,,,,
310000,0.21192102,0.21958101,,,,,
311000,0.20795728,0.21956198,,,,,
312000,0.095458298,,0.13394068,,,,
313000,0.21296168,0.21951582,,,,,
314000,0.16591572,,,0.1436093,,,
315000,0.20572519,0.21943229,,,,,
316000,0.20339794,0.21938608,,,,,
317000,0.2029278,0.21933344,,,,,
318000,0.078800749,,0.13255604,,,,
319000,0.079912393,,0.13232453,,,,
320000,0.081365832,,0.13208225,,,,
321000,0.081616472,,0.1318714,,,,
322000,0.078325999,,0.13164912,,,,
323000,0.2045391,0.21900762,,,,,
324000,0.079562361,,0.131217,,,,
325000,0.2054596,0.21893435,,,,,
326000,0.20512559,0.21888559,,,,,
327000,0.21267526,0.21884688,,,,,
328000,0.16764614,,,0.14536177,,,
329000,0.17151292,,,0.14548493,,,
330000,0.16708636,,,0.14560992,,,
331000,0.16979175,,,0.14573307,,,
332000,0.16746587,,,0.14584595,,,
333000,0.16992612,,,0.14596103,,,
334000,0.2087788,0.21865944,,,,,
335000,0.21100764,0.21865507,,,,,
336000,0.096196277,,0.12910026,,,,
337000,0.17099714,,,0.1464144,,,
338000,0.11210357,,0.12886828,,,,
339000,0.22240164,0.21872682,,,,,
340000,0.10528297,,0.1286844,,,,
341000,0.11051358,,0.12861259,,,,
342000,0.21852004,0.21885448,,,,,
343000,0.17015749,,,0.14709575,,,
344000,0.11260076,,0.12840895,,,,
345000,0.16821122,,,0.14731408,,,
346000,0.22038305,0.21907185,,,,,
347000,0.23081944,0.21909924,,,,,
348000,0.21973318,0.21914795,,,,,
349000,0.22036273,0.21920968,,,,,
350000,0.22488507,0.21926263,,,,,
351000,0.22811101,0.21932179,,,,,
352000,0.17531935,,,0.14804901,,,
353000,0.107894,,0.12790317,,,,
354000,0.16939608,,,0.1482541,,,
355000,0.12776831,,0.1277947,,,,
356000,0.21537764,0.219591,,,,,
357000,0.21571742,0.21961882,,,,,
358000,0.23177724,0.21964551,,,,,
359000,0.22359921,0.21965634,,,,,
360000,0.23490231,0.21969179,,,,,
361000,0.17079332,,,0.14906395,,,
362000,0.22905498,0.21974141,,,,,
363000,0.16898481,,,0.14930884,,,
364000,0.17063167,,,0.1494286,,,
365000,0.11712066,,0.12727005,,,,
366000,0.18199395,,,0.14967312,,,
367000,0.11780791,,0.12722589,,,,
368000,0.17223086,,,0.14991076,,,
369000,0.2417252,0.22020431,,,,,
370000,0.10159215,,0.12706955,,,,
371000,0.096248148,,0.12697982,,,,
372000,0.17091009,,,0.15035516,,,
373000,0.17411053,,,0.1504742,,,
374000,0.21215882,0.22027297,,,,,
375000,0.16948591,,,0.15069677,,,
376000,0.17078276,,,0.15080047,,,
377000,0.17047296,,,0.15090976,,,
378000,0.17234257,,,0.15101544,,,
379000,0.17062317,,,0.15111558,,,
380000,0.2115859,0.22012641,,,,,
381000,0.17069985,,,0.15131857,,,
382000,0.083198262,,0.12559832,,,,
383000,0.22272574,0.22007386,,,,,
384000,0.17155843,,,0.1516281,,,
385000,0.21729468,0.22005286,,,,,
386000,0.21772369,0.22003795,,,,,
387000,0.21058087,0.22001924,,,,,
388000,0.17170083,,,0.15203273,,,
389000,0.17054961,,,0.15212853,,,
390000,0.17266735,,,0.15223232,,,
391000,0.20970825,0.21994307,,,,,
392000,0.080223176,,0.12429074,,,,
393000,0.080736234,,0.12415018,,,,
394000,0.080162234,,0.12400514,,,,
395000,0.20669866,0.21977631,,,,,
396000,0.081818431,,0.12372501,,,,
397000,0.16992258,,,0.15291088,,,
398000,0.1715978,,,0.15300487,,,
399000,0.17206842,,,0.15309407,,,
400000,0.1753046,,,0.15318373,,,
401000,0.17177555,,,0.15327335,,,
402000,0.17077035,,,0.15336297,,,
403000,0.17088603,,,0.15344915,,,
404000,0.17169764,,,0.15354042,,,
405000,0.0905224,,0.12261081,,,,
406000,0.17279717,,,0.15371411,,,
407000,0.17191542,,,0.15379912,,,
408000,0.17587372,,,0.15388443,,,
409000,0.1703852,,,0.15397992,,,
410000,0.17498879,,,0.1540903,,,
411000,0.17248653,,,0.15420107,,,
412000,0.17075346,,,0.15430966,,,
413000,0.17090089,,,0.15441152,,,
414000,0.17350625,,,0.1545119,,,
415000,0.21850663,0.21984325,,,,,
416000,0.21943496,0.21988303,,,,,
417000,0.093769517,,0.12170448,,,,
418000,0.22617939,0.21990144,,,,,
419000,0.22439709,0.21993114,,,,,
420000,0.22337967,,,0.15510241,,,
421000,0.10907806,,0.12145222,,,,
422000,0.22184991,,,0.15529496,,,
423000,0.19738004,,,0.15538654,,,
424000,0.2190474,,,0.15547955,,,
425000,0.10121524,,0.12129094,,,,
426000,0.20173033,,,0.1556619,,,
427000,0.085352763,,0.12117785,,,,
428000,0.21935589,,,0.15584387,,,
429000,0.17494262,,,0.15593117,,,
430000,0.17743017,,,0.15601353,,,
431000,0.17394037,,,0.15609777,,,
432000,0.18188801,,,0.15618013,,,
433000,0.082427335,,0.1204877,,,,
434000,0.21548655,0.22006294,,,,,
435000,0.17251994,,,0.15643454,,,
436000,0.083363203,,0.12015932,,,,
437000,0.083717576,,0.12006298,,,,
438000,0.20896494,0.21991283,,,,,
439000,0.21420508,0.21988193,,,,,
440000,0.1849024,,,0.1568504,,,
441000,0.17076211,,,0.15693279,,,
442000,0.21140371,0.21977151,,,,,
443000,0.17062054,,,0.15709092,,,
444000,0.17464541,,,0.15717687,,,
445000,0.17171083,,,0.15725641,,,
446000,0.18155632,,,0.15733494,,,
447000,0.21520198,0.21970364,,,,,
448000,0.18024484,,,0.15749907,,,
449000,0.17705507,,,0.15757766,,,
450000,0.21188012,0.21974965,,,,,
451000,0.17220494,,,0.15772623,,,
452000,0.090312542,,0.11877458,,,,
453000,0.17142429,,,0.15787737,,,
454000,0.18357397,,,0.15795902,,,
455000,0.2267114,0.21977463,,,,,
456000,0.1801641,,,0.15810584,,,
457000,0.18502828,,,0.15818562,,,
458000,0.21183921,0.2197421,,,,,
459000,0.18174869,,,0.15832818,,,
460000,0.17132781,,,0.15840614,,,
461000,0.084649368,,0.11808456,,,,
462000,0.21148486,0.21962231,,,,,
463000,0.081704407,,0.11790059,,,,
464000,0.22929877,0.21959185,,,,,
465000,0.18487656,,,0.15884709,,,
466000,0.17287832,,,0.1589299,,,
467000,0.22575952,0.21957348,,,,,
468000,0.17121724,,,0.15909814,,,
469000,0.17730016,,,0.15918449,,,
470000,0.17335108,,,0.15927156,,,
471000,0.17739212,,,0.15935466,,,
472000,0.20771841,0.21954197,,,,,
473000,0.17373747,,,0.15950698,,,
474000,0.21150044,0.21947101,,,,,
475000,0.21652321,0.21944188,,,,,
476000,0.21577122,0.21942626,,,,,
477000,0.081064656,,0.11666634,,,,
478000,0.20880967,0.21937175,,,,,
479000,0.18043066,,,0.15998781,,,
480000,0.20878493,0.21928684,,,,,
481000,0.17352811,,,0.1601399,,,
482000,0.21164347,0.21923324,,,,,
483000,0.080353154,,0.1161511,,,,
484000,0.21904615,0.21915264,,,,,
485000,0.20920556,0.21911496,,,,,
486000,0.080442492,,0.11590355,,,,
487000,0.18093319,,,0.16058373,,,
488000,0.21751249,0.21908229,,,,,
489000,0.21193837,0.2190724,,,,,
490000,0.17287916,,,0.16079438,,,
491000,0.1987047,,,0.16086729,,,
492000,0.22214753,0.21902439,,,,,
493000,0.21930183,0.21902097,,,,,
494000,0.17127879,,,0.16107681,,,
495000,0.21074728,0.21901749,,,,,
496000,0.21236536,0.21901212,,,,,
497000,0.21123803,0.21899565,,,,,
498000,0.21188092,0.21899615,,,,,
499000,0.17288785,,,0.16140134,,,
500000,0.21423423,0.21898748,,,,,
501000,0.088761995,,0.11486625,,,,
502000,0.21283141,0.21897095,,,,,
503000,0.20889691,0.21896246,,,,,
504000,0.17218796,,,0.16171607,,,
505000,0.1784116,,,0.16178278,,,
506000,0.17686515,,,0.16184095,,,
507000,0.17305545,,,0.16190266,,,
508000,0.20865412,0.21884673,,,,,
509000,0.081099556,,0.11425852,,,,
510000,0.20883361,0.21878324,,,,,
511000,0.21516431,0.21875211,,,,,
512000,0.17367694,,,0.16221623,,,
513000,0.21187394,0.21875488,,,,,
514000,0.21225062,0.21874991,,,,,
515000,0.17583785,,,0.16243034,,,
516000,0.17595932,,,0.16249833,,,
517000,0.17216431,,,0.16256523,,,
518000,0.1718809,,,0.1626313,,,
519000,0.17342639,,,0.16269698,,,
520000,0.18081165,,,0.16275786,,,
521000,0.11317052,,0.11360859,,,,
522000,0.11169727,,0.11361301,,,,
523000,0.17417904,,,0.16294258,,,
524000,0.17181914,,,0.16300249,,,
525000,0.22608331,0.21923414,,,,,
526000,0.22256706,0.21931312,,,,,
527000,0.23618981,0.2194124,,,,,
528000,0.10154045,,0.11357017,,,,
529000,0.22171287,0.21948509,,,,,
530000,0.10301779,,0.1135232,,,,
531000,0.10514097,,0.11349949,,,,
532000,0.10197985,,0.11347626,,,,
533000,0.21754974,0.21958191,,,,,
534000,0.10040451,,0.11342575,,,,
535000,0.23061007,0.21959426,,,,,
536000,0.17885806,,,0.1637384,,,
537000,0.094296566,,0.11332384,,,,
538000,0.09290111,,0.1132813,,,,
539000,0.21286777,0.21959757,,,,,
540000,0.08933537,,0.11318378,,,,
541000,0.22215608,0.21960424,,,,,
542000,0.22960624,0.21958694,,,,,
543000,0.21775826,0.21957611,,,,,
544000,0.1837713,,,0.16416708,,,
545000,0.17846489,,,0.16422305,,,
546000,0.084820451,,0.11281836,,,,
547000,0.17499593,,,0.16432529,,,
548000,0.17430346,,,0.16437309,,,
549000,0.17931818,,,0.1644252,,,
550000,0.17158773,,,0.16447754,,,
551000,0.092824393,,0.11256327,,,,
552000,0.099741679,,0.11253028,,,,
553000,0.22067383,0.21956768,,,,,
554000,0.2236976,0.21962006,,,,,
555000,0.1718288,,,0.16473709,,,
556000,0.17203072,,,0.16478368,,,
557000,0.17187804,,,0.16482978,,,
558000,0.17398189,,,0.16487959,,,
559000,0.17319268,,,0.16492625,,,
560000,0.17405818,,,0.16497222,,,
561000,0.14148975,,0.11278559,,,,
562000,0.25028734,0.22041421,,,,,
563000,0.25013345,0.22056441,,,,,
564000,0.1714832,,,0.1651858,,,
565000,0.17350697,,,0.16523938,,,
566000,0.24322762,0.22098264,,,,,
567000,0.17158238,,,0.16535435,,,
568000,0.25683316,0.22125998,,,,,
569000,0.15128595,,0.11338921,,,,
570000,0.17863256,,,0.165535,,,
571000,0.17312906,,,0.16559293,,,
572000,0.15781205,,0.11364196,,,,
573000,0.2513071,0.22203848,,,,,
574000,0.17175789,,,0.16575101,,,
575000,0.14795982,,0.11388057,,,,
576000,0.24360323,0.2224973,,,,,
577000,0.26038604,0.22267308,,,,,
578000,0.17331041,,,0.16597575,,,
579000,0.25494091,0.22305208,,,,,
580000,0.17418542,,,0.16608372,,,
581000,0.15672899,,0.11438929,,,,
582000,0.25285981,0.22367503,,,,,
583000,0.17169047,,,0.16623913,,,
584000,0.17964194,,,0.16628885,,,
585000,0.17948628,,,0.16634164,,,
586000,0.27379899,0.22463304,,,,,
587000,0.30434217,0.22493579,,,,,
588000,0.17556162,,,0.16649058,,,
589000,0.28640462,0.22563272,,,,,
590000,0.30317877,0.22597832,,,,,
591000,0.32345675,0.22641848,,,,,
592000,0.28352434,0.22677182,,,,,
593000,0.27310295,0.22710332,,,,,
594000,0.16495111,,0.11616291,,,,
595000,0.25349314,0.22748328,,,,,
596000,0.17185173,,,0.16684644,,,
597000,0.12896314,,0.11633079,,,,
598000,0.17792076,,,0.16693394,,,
599000,0.1712259,,,0.16697958,,,
600000,0.23375788,0.22790245,,,,,
601000,0.17516372,,,0.16705955,,,
602000,0.23673623,0.22796505,,,,,
603000,0.17393386,,,0.16713564,,,
604000,0.17224071,,,0.16717923,,,
605000,0.23154002,0.22804482,,,,,
606000,0.17431919,,,0.16725627,,,
607000,0.17741187,,,0.16729713,,,
608000,0.17430897,,,0.16734276,,,
609000,0.17157969,,,0.16737879,,,
610000,0.17944781,,,0.16741404,,,
611000,0.17385649,,,0.16746289,,,
612000,0.22765497,0.22831211,,,,,
613000,0.17232585,,,0.1675348,,,
614000,0.17856457,,,0.16757828,,,
615000,0.22401888,0.22838275,,,,,
616000,0.23904728,0.22839127,,,,,
617000,0.17342828,,,0.1677169,,,
618000,0.10706912,,0.11669991,,,,
619000,0.17254491,,,0.16781178,,,
620000,0.0957358,,0.11663599,,,,
621000,0.21713184,0.22829297,,,,,
622000,0.21683497,0.22822262,,,,,
623000,0.22408809,0.2281504,,,,,
624000,0.21492435,0.22807962,,,,,
625000,0.17221713,,,0.16807144,,,
626000,0.21144628,0.22793993,,,,,
627000,0.17490446,,,0.16815241,,,
628000,0.17370997,,,0.16819149,,,
629000,0.083592189,,0.11610402,,,,
630000,0.17213877,,,0.16828778,,,
631000,0.17199474,,,0.16832476,,,
632000,0.17167987,,,0.16836114,,,
633000,0.17272465,,,0.16840526,,,
634000,0.096915629,,0.11586904,,,,
635000,0.099534491,,0.11582996,,,,
636000,0.10044526,,0.11579577,,,,
637000,0.10428505,,0.11576679,,,,
638000,0.21607379,0.22740238,,,,,
639000,0.21570171,0.22735767,,,,,
640000,0.2173113,0.22732556,,,,,
641000,0.21537327,0.22730241,,,,,
642000,0.17291005,,,0.16874748,,,
643000,0.2426868,0.22729641,,,,,
644000,0.2204366,0.22730829,,,,,
645000,0.21060698,0.22728321,,,,,
646000,0.21020572,0.22722193,,,,,
647000,0.083303684,,0.11529754,,,,
648000,0.21528768,0.22711417,,,,,
649000,0.085591066,,0.11516545,,,,
650000,0.21226789,0.22703529,,,,,
651000,0.21548284,0.22699042,,,,,
652000,0.21230593,0.22695034,,,,,
653000,0.23074985,0.22689804,,,,,
654000,0.094804108,,0.11484846,,,,
655000,0.087210908,,0.11480039,,,,
656000,0.092247646,,0.11474166,,,,
657000,0.21735912,0.22674785,,,,,
658000,0.21535985,0.22671276,,,,,
659000,0.10264915,,0.11465631,,,,
660000,0.23772601,0.22668896,,,,,
661000,0.11554931,,0.11464044,,,,
662000,0.1177532,,0.11465193,,,,
663000,0.23112171,0.22674356,,,,,
664000,0.23637328,0.22676767,,,,,
665000,0.2443188,0.22682641,,,,,
666000,0.25295127,0.22691016,,,,,
667000,0.13540114,,0.11483029,,,,
668000,0.13757855,,0.11488142,,,,
669000,0.23368507,0.22712271,,,,,
670000,0.24584059,0.22719438,,,,,
671000,0.14158232,,0.11504152,,,,
672000,0.26183782,0.22733427,,,,,
673000,0.13799924,,0.11515296,,,,
674000,0.23681937,0.22750418,,,,,
675000,0.23363056,0.22757785,,,,,
676000,0.24757505,0.2276424,,,,,
677000,0.23918598,0.22768536,,,,,
678000,0.23077989,0.22772898,,,,,
679000,0.23546467,0.22775908,,,,,
680000,0.12517956,,0.11541826,,,,
681000,0.22991588,0.227801,,,,,
682000,0.22432727,0.22782936,,,,,
683000,0.1660417,,0.11544474,,,,
684000,0.222502,0.2278752,,,,,
685000,0.22513687,0.22788663,,,,,
686000,0.23349625,0.22790715,,,,,
687000,0.24520241,0.22792579,,,,,
688000,0.10740102,,0.11542834,,,,
689000,0.11429247,,0.11541376,,,,
690000,0.10855522,,0.11539947,,,,
691000,0.10893018,,0.1153836,,,,
692000,0.23379875,0.22790048,,,,,
693000,0.22996417,0.22791957,,,,,
694000,0.17280814,,,0.17048083,,,
695000,0.25446235,0.22802478,,,,,
696000,0.24816382,0.22808806,,,,,
697000,0.23351645,0.22817312,,,,,
698000,0.25812739,0.2282451,,,,,
699000,0.24821066,0.22832286,,,,,
700000,0.17586642,,,0.17067964,,,
701000,0.25424419,0.2284641,,,,,
702000,0.17195453,,,0.17073547,,,
703000,0.13238677,,0.11560888,,,,
704000,0.1720596,,,0.1707967,,,
705000,0.18132606,,,0.17082735,,,
706000,0.1716876,,,0.17085593,,,
707000,0.1793431,,,0.17089001,,,
708000,0.23789197,0.2286614,,,,,
709000,0.22842676,0.22868522,,,,,
710000,0.23193542,0.22870691,,,,,
711000,0.17391204,,,0.17099281,,,
712000,0.1242812,,0.1157809,,,,
713000,0.23492935,0.22880559,,,,,
714000,0.17181894,,,0.17107011,,,
715000,0.17205595,,,0.17109368,,,
716000,0.17343552,,,0.17112256,,,
717000,0.17206232,,,0.17114182,,,
718000,0.11780074,,0.11581825,,,,
719000,0.17176359,,,0.17120408,,,
720000,0.17235211,,,0.17123323,,,
721000,0.17195465,,,0.17127092,,,
722000,0.13264386,,0.11587972,,,,
723000,0.24092583,0.22894701,,,,,
724000,0.2464518,0.22899515,,,,,
725000,0.26432289,0.22909215,,,,,
726000,0.17272602,,,0.17141261,,,
727000,0.16882211,,0.11615688,,,,
728000,0.17873643,,,0.17148073,,,
729000,0.27724103,0.22990581,,,,,
730000,0.27810319,0.23010422,,,,,
731000,0.27391705,0.23032034,,,,,
732000,0.17302775,,,0.17159612,,,
733000,0.174333,,,0.17162098,,,
734000,0.24610098,0.23072416,,,,,
735000,0.15860475,,0.11691568,,,,
736000,0.25986532,0.23098425,,,,,
737000,0.2661918,0.23109638,,,,,
738000,0.26158687,0.23122759,,,,,
739000,0.16414026,,0.11719835,,,,
740000,0.26059402,0.23143838,,,,,
741000,0.17426018,,,0.17184911,,,
742000,0.14789529,,0.1174242,,,,
743000,0.1795941,,,0.17190323,,,
744000,0.15272459,,0.11758283,,,,
745000,0.27422653,0.23200193,,,,,
746000,0.24556383,0.23210733,,,,,
747000,0.25960831,0.23220088,,,,,
748000,0.25371971,0.23229923,,,,,
749000,0.17470845,,,0.17205117,,,
750000,0.25806511,0.23249411,,,,,
751000,0.24698183,0.23257502,,,,,
752000,0.2460764,0.2326192,,,,,
753000,0.17212243,,,0.17213413,,,
754000,0.26037271,0.23276739,,,,,
755000,0.13685821,,0.11834642,,,,
756000,0.17338537,,,0.17222288,,,
757000,0.13419424,,0.1184224,,,,
758000,0.13838305,,0.11846293,,,,
759000,0.1374976,,0.11850262,,,,
760000,0.25876999,0.2331963,,,,,
761000,0.27828581,0.23335565,,,,,
762000,0.17489913,,,0.17235742,,,
763000,0.24272163,0.23361818,,,,,
764000,0.25189434,0.23369783,,,,,
765000,0.23074043,0.23373724,,,,,
766000,0.22984936,0.23372023,,,,,
767000,0.17798251,,,0.17245618,,,
768000,0.17332049,,,0.17247612,,,
769000,0.21767432,0.23356294,,,,,
770000,0.17944333,,,0.17252584,,,
771000,0.21661273,0.23345102,,,,,
772000,0.094040489,,0.11858316,,,,
773000,0.093163951,,0.11853321,,,,
774000,0.21915275,0.23333709,,,,,
775000,0.17394357,,,0.17264333,,,
776000,0.17203937,,,0.17266579,,,
777000,0.1807929,,,0.17269301,,,
778000,0.086034921,,0.1182656,,,,
779000,0.17411955,,,0.17274785,,,
780000,0.17390614,,,0.17276722,,,
781000,0.089960537,,0.11807117,,,,
782000,0.17859849,,,0.17279973,,,
783000,0.17402037,,,0.17281913,,,
784000,0.21097879,0.23258475,,,,,
785000,0.20895164,0.23249991,,,,,
786000,0.20978763,0.23241596,,,,,
787000,0.22022438,0.23233327,,,,,
788000,0.1820985,,,0.17290579,,,
789000,0.086387705,,0.1175786,,,,
790000,0.093306301,,0.11752043,,,,
791000,0.21492466,0.23204292,,,,,
792000,0.21047101,0.23197495,,,,,
793000,0.20874698,0.23189761,,,,,
